,tc
544,0.0
545,10.58
546,0.0
547,13.35
548,0.0
549,15.8
550,0.0
551,9.6
552,14.0
553,4.61
554,0.0
555,56.5
556,53.6
557,53.5
558,0.0
559,0.0
560,0.0
561,0.0
562,10.2
563,17.6
564,16.475
565,30.0
566,26.0
567,13.5
568,43.0
569,0.0
570,0.0
571,53.7
572,51.45
573,46.9
574,0.0
575,16.25
576,15.5
577,14.6
578,4.86
579,12.8
580,46.25
581,48.2
582,44.4
583,0.0
584,48.9
585,46.0
586,51.4
587,47.0
588,55.0
589,52.1
590,40.1
591,53.23333333
592,0.0
593,52.0
594,45.0
595,34.8
596,33.85
597,43.8
598,44.4
599,22.8
600,0.0
601,5.7
602,3.5
603,0.0
604,0.0
605,0.0
606,0.0
607,3.2
608,3.193333333
609,3.1
610,3.5
611,3.7
612,0.0
613,2.71
614,0.0
615,8.2
616,2.353333333
617,0.0
618,8.0
619,0.0
620,1.15
621,0.0
622,0.46
623,2.425
624,0.75
625,0.58
626,0.0
627,0.0
628,0.0
629,8.716666667
630,3.755
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,6.93
637,12.8
638,19.2
639,24.5
640,19.7
641,24.2
642,15.0
643,31.2
644,28.7
645,22.0
646,32.5
647,30.1625
648,36.9
649,30.31
650,19.95
651,13.56
652,22.29
653,11.83
654,5.1
655,7.86
656,0.0
657,34.2
658,33.5
659,11.1
660,36.5
661,15.0
662,34.3
663,25.85
664,9.53
665,26.75
666,37.14
667,30.15
668,35.28
669,32.8
670,39.0
671,25.6
672,31.0
673,38.0
674,31.25
675,38.0
676,19.0
677,37.0
678,35.0
679,37.75
680,23.8
681,18.0
682,18.0
683,35.66
684,33.85
685,33.45
686,24.0
687,32.0
688,28.45
689,26.0
690,15.9
691,8.0
692,19.0
693,23.5
694,17.0
695,18.0
696,36.85
697,23.8
698,15.0
699,13.0
700,12.0
701,6.4
702,12.73333333
703,10.0
704,10.0
705,10.5
706,7.0
707,8.0
708,6.42
709,5.3
710,0.0
711,10.0
712,11.8
713,0.0
714,3.5
715,0.0
716,0.0
717,21.3
718,22.5
719,7.1
720,21.0
721,8.95
722,5.02
723,19.7
724,0.783333333
725,2.0
726,0.0
727,0.0
728,0.0
729,22.0
730,1.27
731,3.02
732,2.29
733,1.845
734,2.0
735,2.0
736,7.2
737,0.0
738,9.5
739,13.4
740,24.1
741,0.0
742,13.9
743,21.0
744,14.4
745,13.2
746,2.0
747,13.5
748,15.7
749,11.0
750,24.0
751,18.365
752,16.0
753,13.2
754,0.0
755,0.0
756,2.08
757,0.0
758,0.0
759,0.0
760,0.0
761,32.0
762,0.0
763,0.0
764,21.66666667
765,21.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,16.3
773,21.9
774,2.305
775,0.0
776,0.0
777,12.6
778,0.0
779,9.6
780,8.65
781,16.0
782,8.93
783,8.7
784,11.7
785,5.92
786,0.0
787,7.4
788,15.8
789,0.0
790,0.0
791,0.0
792,5.5
793,1.6
794,0.0
795,5.11
796,13.3
797,12.2
798,2.9
799,2.9965
800,26.0
801,23.5
802,6.0
803,1.983333333
804,0.0
805,0.0
806,29.25
807,0.0
808,2.8
809,0.97
810,0.205
811,0.0
812,0.66
813,0.0
814,0.92
815,0.23
816,0.0
817,5.083333333
818,0.0
819,4.4
820,0.0
821,0.0
822,0.0
823,0.9
824,0.0
825,6.5
826,0.0
827,0.0
828,0.0
829,1.195
830,0.0
831,20.125
832,35.0
833,0.0
834,0.0
835,2.53
836,2.52
837,25.6
838,2.7
839,7.6
840,0.66
841,10.56
842,10.78
843,5.05
844,0.0
845,1.85
846,1.615
847,2.04
848,1.587
849,1.96
850,1.63
851,4.5
852,1.587
853,1.24
854,6.45
855,2.38
856,1.668
857,1.89
858,1.58
859,1.3
860,1.355
861,0.0
862,4.6
863,1.99
864,1.378
865,1.17
866,0.0
867,3.02
868,0.0
869,12.283333333333331
870,9.5
871,1.79
872,1.773
873,11.0
874,1.56
875,1.25
876,1.51
877,11.4
878,0.0
879,10.8
880,0.0
881,2.68
882,2.27
883,1.775
884,0.0
885,1.2
886,1.062
887,9.4
888,2.3
889,0.22
890,0.0
891,0.185
892,0.0
893,0.0
894,8.4
895,10.163181818
896,3.76
897,4.325
898,0.0
899,0.29
900,2.0
901,1.65
902,1.25
903,0.0
904,1.366666667
905,3.365
906,4.25
907,2.2192
908,1.245
909,0.46
910,6.7
911,1.77
912,2.051666667
913,0.0
914,0.0
915,3.02
916,0.0
917,1.82
918,0.0
919,0.0
920,0.0
921,2.6575
922,1.62
923,0.4
924,0.34
925,0.0
926,0.0
927,0.9
928,0.0
929,0.0
930,0.0
931,1.4
932,7.0
933,12.5
934,8.4
935,21.0
936,23.0
937,25.0
938,26.5
939,31.0
940,32.0
941,6.4
942,16.4
943,8.1
944,5.9
945,5.4
946,2.538888889
947,0.0
948,6.1
949,5.7
950,7.8
951,0.0
952,0.0
953,0.0
954,3.2
955,2.6
956,6.6
957,2.5
958,1.35
959,2.9
960,2.6
961,5.0
962,2.4
963,25.5
964,30.335
965,30.8
966,32.0
967,33.0
968,16.0
969,33.15
970,33.3
971,28.0
972,32.9
973,35.0
974,33.85
975,36.0
976,0.0
977,35.5
978,35.78
979,38.3
980,21.0
981,37.0
982,37.7
983,36.0
984,37.0
985,36.25
986,30.0
987,37.53333333
988,38.5
989,32.84363636
990,0.0
991,0.0
992,5.97
993,5.67
994,5.65
995,4.77
996,4.78
997,0.435
998,0.39
999,5.5
1000,0.0
1001,4.7
1002,4.4
1003,6.0335714285
1004,4.0875
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,2.4
1011,3.3
1012,3.38
1013,0.0
1014,2.6
1015,2.94
1016,2.786666667
1017,6.7166666665
1018,2.08
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,3.1
1025,1.86
1026,0.0
1027,1.96
1028,7.7
1029,7.663333333
1030,7.233333333
1031,3.37
1032,6.59
1033,6.4
1034,7.5535
1035,2.294
1036,0.0
1037,0.25
1038,5.09
1039,4.1125
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,4.75
1046,0.0
1047,0.0
1048,4.0
1049,1.56
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,2.133333333
1055,3.1
1056,0.0
1057,7.35
1058,13.8
1059,11.9
1060,0.0
1061,0.0
1062,0.0
1063,0.05
1064,0.0
1065,0.0
1066,0.0
1067,14.3
1068,11.8
1069,8.13
1070,3.1
1071,9.65
1072,6.75
1073,0.0
1074,14.3
1075,14.7
1076,13.0
1077,13.75
1078,11.55
1079,10.85
1080,7.895
1081,8.116666667
1082,0.0
1083,11.77
1084,12.0
1085,6.61
1086,11.8
1087,0.0
1088,9.75
1089,5.83
1090,0.0
1091,3.24
1092,2.0
1093,0.0
1094,2.3
1095,4.3
1096,6.215
1097,3.42
1098,5.325
1099,5.61
1100,2.485
1101,4.7
1102,4.55
1103,5.033571429
1104,4.675000000000001
1105,5.9
1106,2.0
1107,5.63
1108,7.225
1109,10.8
1110,6.15
1111,8.52
1112,9.535
1113,7.31
1114,8.355
1115,8.5
1116,0.0
1117,4.63
1118,0.0
1119,2.155
1120,0.0
1121,10.2329166665
1122,7.0
1123,13.4
1124,7.97
1125,10.2
1126,7.39
1127,5.52
1128,6.2
1129,3.99
1130,6.64
1131,8.2
1132,0.0
1133,13.28
1134,13.5
1135,7.3
1136,9.715
1137,10.475
1138,9.95
1139,6.155
1140,12.0
1141,7.81
1142,7.02
1143,4.2
1144,4.52
1145,5.935
1146,8.1
1147,0.0
1148,0.0
1149,0.0
1150,15.1
1151,13.8
1152,13.3
1153,8.81
1154,8.9
1155,8.72
1156,8.72
1157,9.3
1158,1.3
1159,8.77
1160,3.0
1161,6.62
1162,8.77
1163,7.44
1164,2.25
1165,8.77
1166,8.0661764705
1167,0.0
1168,16.2
1169,15.3
1170,15.1
1171,13.6
1172,13.6
1173,0.0
1174,0.0
1175,10.25
1176,0.0
1177,15.2
1178,14.8
1179,15.56
1180,14.55
1181,15.0
1182,15.2
1183,14.68
1184,15.88066667
1185,15.48
1186,12.7
1187,8.7
1188,5.7
1189,0.0
1190,10.7
1191,11.8
1192,14.0
1193,8.7
1194,12.8
1195,13.7
1196,7.0
1197,14.05
1198,12.0
1199,11.2
1200,7.7
1201,8.68
1202,0.0
1203,0.0
1204,14.42
1205,12.54
1206,10.02
1207,4.6
1208,5.71
1209,0.0
1210,2.346666667
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,6.966666667
1220,9.659
1221,0.0
1222,14.17727273
1223,0.0
1224,14.5
1225,22.6
1226,6.0
1227,0.0
1228,6.6
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,1.2
1234,1.8
1235,0.0
1236,0.0
1237,1.67
1238,1.07
1239,0.38
1240,0.0
1241,0.0
1242,0.0
1243,0.55
1244,37.1
1245,37.4
1246,36.2
1247,34.5
1248,4.175
1249,0.0
1250,0.0
1251,0.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,0.0
1263,36.7
1264,35.3
1265,35.1
1266,0.0
1267,0.0
1268,38.11
1269,38.05
1270,37.8
1271,37.58
1272,37.75
1273,38.6
1274,38.6
1275,7.34
1276,5.07
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,8.86
1283,8.77
1284,7.85
1285,6.94
1286,5.26
1287,6.295
1288,0.0
1289,0.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,37.8
1295,35.6
1296,33.45
1297,34.7
1298,32.96666667
1299,29.5
1300,34.0
1301,6.4
1302,4.84
1303,0.0
1304,0.0
1305,0.0
1306,3.8
1307,0.0
1308,7.53
1309,6.46
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,33.2
1316,28.1
1317,18.0
1318,3.6
1319,1.12
1320,0.0
1321,1.65
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,2.09
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,2.57
1333,13.0325
1334,38.25
1335,37.8
1336,38.0
1337,35.3
1338,36.6
1339,36.91666667
1340,34.0
1341,0.0
1342,7.295
1343,4.76
1344,8.72
1345,2.66
1346,4.655
1347,0.0
1348,10.054
1349,0.0
1350,4.5
1351,36.0
1352,36.9
1353,37.2
1354,38.0
1355,38.0
1356,30.0
1357,38.0
1358,37.8
1359,38.4
1360,37.3
1361,38.2
1362,38.0
1363,35.0
1364,30.0
1365,38.5
1366,38.3
1367,37.7
1368,32.3
1369,38.0
1370,38.4
1371,41.4
1372,35.5
1373,39.0
1374,33.4
1375,35.9
1376,33.5
1377,38.6
1378,34.0
1379,38.3
1380,38.4
1381,37.3
1382,0.0
1383,0.0
1384,5.74
1385,0.0
1386,5.8
1387,7.96
1388,9.77
1389,9.1
1390,3.64
1391,4.5975
1392,0.0
1393,0.0
1394,0.0
1395,1.5975
1396,1.34
1397,0.0
1398,0.0
1399,2.22
1400,0.0
1401,0.0
1402,0.0
1403,6.3
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.8
1411,8.1
1412,0.0
1413,0.0
1414,7.7
1415,0.0
1416,0.0
1417,1.79
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,0.0
1424,0.0
1425,0.0
1426,6.4
1427,8.7
1428,8.2
1429,0.0
1430,0.0
1431,2.75
1432,0.72
1433,6.0
1434,3.19
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,4.585
1448,0.0
1449,0.0
1450,0.0
1451,5.883333333
1452,6.15
1453,5.95
1454,10.4
1455,6.43
1456,6.44
1457,10.0
1458,2.5
1459,9.05
1460,8.06
1461,4.18
1462,8.22
1463,8.74
1464,4.41
1465,6.87
1466,7.61
1467,8.06
1468,8.22
1469,6.88
1470,7.065
1471,2.22
1472,7.795
1473,0.0
1474,0.0
1475,10.1
1476,8.66
1477,3.54
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,6.42
1483,0.7
1484,0.0
1485,3.06
1486,3.21
1487,3.07
1488,2.98
1489,3.04
1490,1.675
1491,0.0
1492,11.93
1493,10.093625
1494,2.0
1495,5.323333333
1496,0.0
1497,1.4
1498,0.0
1499,8.74
1500,2.6475
1501,0.0
1502,4.448
1503,8.888
1504,10.95775
1505,0.0
1506,1.38
1507,7.27
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,1.4
1514,0.0
1515,0.0
1516,8.4
1517,8.3
1518,7.0
1519,7.1
1520,5.5
1521,8.8
1522,8.0
1523,8.9
1524,0.0
1525,0.0
1526,0.0
1527,1.6
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,3.3
1535,0.0
1536,0.0
1537,0.0
1538,6.8
1539,5.8
1540,2.05
1541,3.15
1542,3.0
1543,5.8
1544,0.0
1545,0.0
1546,3.4
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.37
1552,0.0
1553,0.0
1554,5.692857143
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.525
1567,22.6
1568,0.0
1569,24.0
1570,0.5
1571,24.95
1572,32.0
1573,29.0
1574,26.0
1575,12.3
1576,29.0
1577,14.5
1578,33.1
1579,13.9
1580,21.8
1581,9.0
1582,9.3
1583,23.6
1584,2.99
1585,4.96
1586,1.9
1587,29.0
1588,1.725
1589,26.0
1590,25.3
1591,0.0
1592,28.0
1593,0.0
1594,26.2
1595,25.5
1596,26.9
1597,23.1
1598,23.5
1599,8.4
1600,54.0
1601,1.75
1602,0.1
1603,21.6
1604,0.0
1605,13.7
1606,14.0
1607,0.0
1608,58.0
1609,0.0
1610,0.0
1611,0.77
1612,7.0
1613,1.88
1614,9.7
1615,30.0
1616,15.5
1617,12.7
1618,11.0
1619,7.2
1620,17.2
1621,18.7
1622,23.1
1623,20.0
1624,25.5
1625,25.0
1626,24.525
1627,27.3
1628,21.2
1629,28.8
1630,31.2
1631,31.0
1632,19.66428571
1633,30.7
1634,31.5
1635,28.96666667
1636,30.4
1637,29.58571429
1638,29.0
1639,28.5
1640,28.2
1641,28.1
1642,0.0
1643,5.015
1644,28.0
1645,29.9
1646,0.0
1647,0.0
1648,5.93
1649,5.86
1650,5.11
1651,0.0
1652,6.1
1653,0.0
1654,3.0
1655,6.19
1656,4.25
1657,3.14
1658,4.25
1659,3.88
1660,0.0
1661,30.0
1662,30.0
1663,5.13
1664,4.24
1665,5.33
1666,3.4375
1667,0.3
1668,18.9
1669,0.0
1670,76.0
1671,37.9
1672,0.0
1673,0.0
1674,57.45
1675,69.0
1676,52.6
1677,0.0
1678,83.0
1679,61.0
1680,0.0
1681,79.05
1682,0.0
1683,0.0
1684,68.8
1685,44.0
1686,77.7
1687,81.0
1688,83.3
1689,79.7
1690,74.3
1691,85.4
1692,93.0
1693,32.9
1694,64.0
1695,73.5
1696,61.0
1697,8.7
1698,8.7
1699,7.6
1700,7.6
1701,2.91
1702,2.91
1703,10.3
1704,10.3
1705,9.9
1706,9.875
1707,9.875
1708,11.23
1709,11.23
1710,0.0
1711,4.6
1712,5.745
1713,0.0
1714,0.0
1715,3.02
1716,0.0
1717,86.0
1718,0.0
1719,11.0
1720,0.0
1721,11.0
1722,4.0
1723,2.4
1724,4.05
1725,0.0
1726,2.59
1727,5.17
1728,0.0
1729,4.93
1730,4.0
1731,2.32
1732,2.1
1733,0.0
1734,2.686666667
1735,0.0
1736,1.0
1737,0.0
1738,3.5
1739,3.5
1740,1.4
1741,1.4
1742,1.7
1743,1.7
1744,2.91
1745,0.0
1746,1.875
1747,0.0
1748,6.0
1749,0.0
1750,2.2
1751,2.2
1752,0.0
1753,0.964
1754,5.3
1755,4.3
1756,0.0
1757,0.0
1758,80.0
1759,1.475
1760,0.0
1761,4.44
1762,79.3
1763,76.8
1764,79.2
1765,78.7
1766,80.75
1767,87.0
1768,0.0
1769,80.0
1770,77.4
1771,81.2
1772,81.9
1773,83.2
1774,81.0
1775,84.8
1776,85.16
1777,83.8
1778,83.3
1779,86.25
1780,0.0
1781,88.5
1782,87.0
1783,88.9
1784,81.8
1785,87.0
1786,87.35714286
1787,82.9
1788,44.7
1789,47.5
1790,0.0
1791,0.0
1792,24.0
1793,71.6
1794,87.0
1795,87.8
1796,0.0
1797,0.0
1798,87.0
1799,0.0
1800,81.25
1801,95.5
1802,104.0
1803,103.0
1804,93.6
1805,96.3
1806,97.6
1807,100.0
1808,91.8
1809,90.8
1810,86.1
1811,106.0
1812,92.0
1813,92.5
1814,102.0
1815,105.0
1816,121.0
1817,122.0
1818,127.0
1819,127.0
1820,123.0
1821,110.0
1822,100.0
1823,98.0
1824,80.8
1825,105.9816667
1826,132.9
1827,132.0
1828,130.0
1829,118.975
1830,89.9
1831,88.0
1832,92.8
1833,92.8
1834,44.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,90.4
1852,73.0
1853,64.5
1854,72.0
1855,20.0
1856,36.0
1857,48.0
1858,0.0
1859,73.0
1860,95.0
1861,70.0
1862,73.5
1863,82.0
1864,79.1
1865,89.0
1866,73.0
1867,88.5
1868,98.0
1869,92.0
1870,95.6
1871,95.3
1872,93.4
1873,92.5
1874,90.9
1875,89.1
1876,82.0
1877,0.0
1878,97.0
1879,88.0
1880,97.4
1881,78.0
1882,95.16
1883,94.2
1884,80.0
1885,97.0
1886,85.0
1887,81.0
1888,78.0
1889,0.0
1890,59.0
1891,37.5
1892,24.2
1893,0.0
1894,24.0
1895,95.0
1896,81.0
1897,62.0
1898,47.0
1899,40.0
1900,16.0
1901,87.8
1902,64.9
1903,0.0
1904,45.3
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,28.6
1923,45.8
1924,61.1
1925,82.9
1926,76.4
1927,91.1
1928,93.9
1929,92.03333333
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,37.8
1936,53.8
1937,63.0
1938,93.8
1939,68.3
1940,92.0
1941,35.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,20.9
1948,39.6
1949,67.9
1950,57.7
1951,84.0
1952,93.1
1953,0.0
1954,0.0
1955,92.475
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,51.7
1961,54.8
1962,57.1
1963,59.8
1964,81.0
1965,68.3
1966,89.6
1967,56.55
1968,73.5
1969,89.7
1970,86.8
1971,88.24
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,5.6
1978,40.7
1979,31.4
1980,68.2
1981,85.1
1982,78.35
1983,35.8
1984,84.1
1985,56.8925
1986,22.0
1987,0.0
1988,0.0
1989,25.93
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,89.5
1999,91.0
2000,90.83333333
2001,23.5
2002,43.0
2003,54.9
2004,0.0
2005,74.46666667
2006,78.0
2007,0.0
2008,75.0
2009,63.5
2010,75.0
2011,74.0
2012,69.0
2013,72.66666667
2014,76.2
2015,0.0
2016,77.0
2017,72.3
2018,72.025
2019,66.78571429
2020,63.66666667
2021,55.25
2022,50.5
2023,37.875
2024,0.0
2025,0.0
2026,0.0
2027,79.0
2028,81.0
2029,87.0
2030,69.3
2031,78.0
2032,79.42
2033,78.8
2034,0.0
2035,3.9
2036,6.1
2037,0.0
2038,5.0
2039,6.0
2040,7.0
2041,0.24
2042,1.625
2043,8.2
2044,2.9
2045,3.3
2046,10.0
2047,8.1425
2048,16.6
2049,15.6
2050,9.0
2051,0.0
2052,3.1065
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.67
2071,0.66
2072,0.525
2073,0.519
2074,0.48
2075,0.637
2076,0.539
2077,0.58
2078,0.55
2079,0.5515000000000001
2080,0.602666667
2081,0.5315
2082,0.46
2083,0.415
2084,0.38
2085,0.344
2086,0.0
2087,0.917754545
2088,4.1
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,1.47
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
2101,0.0
2102,8.6
2103,2.5275
2104,9.2
2105,9.45
2106,9.2
2107,9.51
2108,4.12
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,2.15
2114,2.3
2115,0.0
